id,name,type,status,price,sale_price,currency,category,url,sold_quantity,rating,problems_solved,description
1639482344,تصميم هوية بصرية,product,hidden,2199,,SAR,,https://salatips.com/ar/تصميم-هوية-بصرية/p1639482344,1,5,تصميم وواجهة المتجر غير احترافية / تجربة استخدام ضعيفة,
1042268715,انشاء و تصميم متجر بنظام الحجوزات,product,hidden,1495,,SAR,,https://salatips.com/ar/انشاء-و-تصميم-متجر-بنظام-الحجوزات/p1042268715,1,0,تصميم وواجهة المتجر غير احترافية / تجربة استخدام ضعيفة,
1848570138,رفع ١٢ منتج على ووردبريس,product,hidden,99,,SAR,,https://salatips.com/ar/رفع-١٢-منتج-على-ووردبريس/p1848570138,1,0,منتجات ناقصة أو أوصاف/تصوير ضعيف,
706004440,تصميم متجر على هيئة صفحة هبوط,product,hidden,630,,SAR,,https://salatips.com/ar/تصميم-متجر-على-هيئة-صفحة-هبوط/p706004440,1,0,تصميم وواجهة المتجر غير احترافية / تجربة استخدام ضعيفة,
216866706,تفعيل و تجهيز خدمات تطبيقات سلة,product,hidden,89,,SAR,,https://salatips.com/ar/تفعيل-و-تجهيز-خدمات-تطبيقات-سلة/p216866706,1,0,المتجر جديد / يحتاج تأسيس كامل,
235733114,إعادة تصميم و مراجعة المتجر,product,hidden,1500,,SAR,,https://salatips.com/ar/إعادة-تصميم-و-مراجعة-المتجر/p235733114,1,5,تصميم وواجهة المتجر غير احترافية / تجربة استخدام ضعيفة | الحاجة لتقييم/تحليل شامل للمتجر,
1892990286,الربط مع منصة مخازن,service,hidden,0,,SAR,باقات صناعة المحتوى وادارة حسابات,https://salatips.com/ar/الربط-مع-منصة-مخازن/p1892990286,1,,ضعف التسويق وإدارة حسابات التواصل الاجتماعي | منتجات ناقصة أو أوصاف/تصوير ضعيف | ربط أنظمة مخزون/دروبشيبينغ خارجية,التسجيل نيابة عنك في منصة مخازن وربطها بمتجرك، نصف ساعة استشارية عبر زوم، شرح طريقة إضافة المنتجات، استشارات مجانية للأسبوع الأول. لا تشمل رسوم الاشتراك في مخازن.
13613744,اعلانات قوقل,service,hidden,0,,SAR,التسويق الإلكتروني,https://salatips.com/ar/اعلانات-قوقل/p13613744,0,0,خيارات دفع محدودة / لا يوجد تقسيط | ضعف التسويق وإدارة حسابات التواصل الاجتماعي | نقص المعرفة/المهارة في إدارة المتجر,نقدم لكم خدمة التسويق عبر اعلانات قوقل وصف الخدمة: إنشاء اعلان مدفوع ليظهر اعلانك في الصفحات الاولى على محرك بحث قوقل يتم انشاء الحملة على حسابك الخاص مع كتابة المحتوى الاعلاني السعر يشمل إنشاء الحملة ومتابعة تحسينها
1331527539,عمل خطة تسويقية 3 أشهر,service,hidden,1723.85,,SAR,,https://salatips.com/ar/عمل-خطة-تسويقية-3-أشهر/p1331527539,0,0,ضعف الظهور في محركات البحث / قلة الزيارات (SEO) | لا يوجد تتبع/تحليلات للزوار والأداء | ضعف التسويق وإدارة حسابات التواصل الاجتماعي | الحاجة لتقييم/تحليل شامل للمتجر | التوثيق والمتطلبات النظامية (معروف/وثيقة عمل حر/جمارك),تعد الخطة التسويقية Marketing Plan وثيقة تشغيلية لتتبع اهداف المشروع سوف نقدم لك في هذه الخدمة : انشاء خطة تسويقية كاملة . تحليل وضعك الحالي . تحديد الجمهور المستهدف . دراسة المنافسين . وضع لائحة بمجموعة الأهداف التسويقية . وضع استراتيجيات التسويق . وضع قائمة مهام ومعايير تتبع النجاح . الخدمة متوفرة للطلب الان . مدة الخطة 3 أشهر .
70415944,فتح حساب تمارا,service,hidden,56.35,,SAR,ربط الخدمات,https://salatips.com/ar/فتح-حساب-تمارا/p70415944,0,0,خيارات دفع محدودة / لا يوجد تقسيط,وصف الخدمة: تتيح لك الخدمة إنشاء حساب في منصة تمارا ( خيارات الدفع المرنة للعملاء ) ملاحظة:- تعتبر الرسوم غير مستردة في حال الرفض.
825159289,اشتراك VVIP,service,hidden,458.85,,SAR,,https://salatips.com/ar/اشتراك-vvip/p825159289,0,0,تصميم وواجهة المتجر غير احترافية / تجربة استخدام ضعيفة | خيارات دفع محدودة / لا يوجد تقسيط | لا يوجد تتبع/تحليلات للزوار والأداء | ضعف التسويق وإدارة حسابات التواصل الاجتماعي,"مميزات باقة VVIP :- الاعلان للمتجر في بنر خاص وكامل للمتجر يكون في منتصف الصفحة الرئيسية رابط منصتكم :- https://manstkom.com/ ** البنر = الصور العريضة في المتاجر مثال للتوضيح :- مميزات منصتكم:- * اعلان فيديو خاص بالمتجر ونشره في جميع حسابات منصتكم * عمل اعلانات مدفوعة لي ""منصتكم"" بشكل مستمر * عمل فيديوهات تسويقية بإستمرار في حسابات منصتكم على السوشل ميديا * استهداف عملاء جدد من خلال التسويق في حساب ""خبير منصة سلة"" باستمرار * اضافة صوره ووصف للمتجر ( يمكنكم تزويدنا بها اذا تفضلون) * تزويدكم بتقارير واحصائيات ""منصتكم"" بشكل اسبوعي رسوم الاشتراك لمدة شهرين الشهر الاول عليك والشهر الثاني علينا :)"
185873666,اشتراك VIP,service,hidden,343.85,,SAR,,https://salatips.com/ar/اشتراك-vip/p185873666,0,0,خيارات دفع محدودة / لا يوجد تقسيط | لا يوجد تتبع/تحليلات للزوار والأداء | ضعف التسويق وإدارة حسابات التواصل الاجتماعي,"مميزات باقة VIP:- الاعلان للمتجر في الصفحة الرئيسة تحت قسم VIP ولا تكون داخل الاقسام رابط منصتكم :- https://manstkom.com/ مثال لتوضيح :- مميزات منصتكم:- * اعلان فيديو خاص بالمتجر ونشره في جميع حسابات منصتكم * عمل اعلانات مدفوعة لي ""منصتكم"" بشكل مستمر * عمل فيديوهات تسويقية بإستمرار في حسابات منصتكم على السوشل ميديا * استهداف عملاء جدد من خلال التسويق في حساب ""خبير منصة سلة"" باستمرار * اضافة صوره ووصف للمتجر ( يمكنكم تزويدنا بها اذا تفضلون) * تزويدكم بتقارير واحصائيات ""منصتكم"" بشكل اسبوعي رسوم الاشتراك لمدة شهرين الشهر الاول عليك والشهر الثاني علينا :)"
